"['106117054', '111117098']",Amber A Third,134
"['101117046', '111117001']",Amber A Third,135
"['102117052', '110117073']",Amber A Third,136
"['107117048', '111117007']",Amber A Third,137
"['106117091', '107117003']",Amber A Third,138
"['111117034', '111117057']",Amber A Third,139
"['107117028', '108117055']",Amber A Third,140
"['108117042', '108117062']",Amber A Third,141
"['106117041', '108117093']",Amber A Third,142
"['103117029', '107117061']",Amber A Third,143
"['101117020', '101117023']",Amber A Third,144
"['114117038', '114117086']",Amber A Third,145
"['108117029', '108117059']",Amber A Third,146
"['107117079', '107117103']",Amber A Third,147
"['106117010', '108117047']",Amber A Third,148
"['111117006', '111117020']",Amber A Third,149
"['102117026', '112117044']",Amber A Third,150
"['101117041', '101117045']",Amber A Third,151
"['107117009', '107117011']",Amber A Third,152
"['103117023', '103117071']",Amber A Third,153
"['106117065', '106117081']",Amber A Third,154
"['106117003', '106117020']",Amber A Third,155
"['112117002', '112117027']",Amber A Third,156
"['103117104', '106117036']",Amber A Third,157
"['106117013', '106117073']",Amber A Third,158
"['101117022', '101117032']",Amber A Third,159
"['101117006', '101117043']",Amber A Third,160
"['101117018', '101117039']",Amber A Third,161
"['101117004', '101117044']",Amber A Third,162
"['101117010', '101117034']",Amber A Third,163
"['101117013', '101117037']",Amber A Third,164
"['101117005', '101117025']",Amber A Third,165
,,
,,
,,
"['107117104', '107117105']",Amber B Ground,1
"['110117026', '110117096']",Amber B Ground,2
"['110117057', '112117056']",Amber B Ground,3
"['107117084', '108117036']",Amber B Ground,4
"['103117039', '103117099']",Amber B Ground,5
"['103117101', '106117056']",Amber B Ground,6
"['106117079', '110117034']",Amber B Ground,7
"['102117038', '102117058']",Amber B Ground,8
"['106117057', '111117061']",Amber B Ground,9
"['103117065', '107117002']",Amber B Ground,10
"['107117007', '112117043']",Amber B Ground,11
"['110117033', '110117045']",Amber B Ground,12
"['110117056', '111117074']",Amber B Ground,13
"['112117032', '112117055']",Amber B Ground,14
"['110117048', '111117041']",Amber B Ground,15
"['112117045', '112117063']",Amber B Ground,16
"['108117064', '111117076']",Amber B Ground,17
"['111117004', '111117071']",Amber B Ground,18
"['112117014', '112117060']",Amber B Ground,19
"['108117044', '108117048']",Amber B Ground,20
"['107117025', '107117097']",Amber B Ground,21
"['108117050', '110117031']",Amber B Ground,22
"['110117004', '112117034']",Amber B Ground,23
"['110117001', '110117095']",Amber B Ground,24
"['103117052', '103117091']",Amber B Ground,25
"['103117050', '108117049']",Amber B Ground,26
"['114117087', '114117093']",Amber B Ground,27
